pais,codigo_pais,anio,indicador,valor
"Korea, Rep.",KOR,2004,tasa_finalizacion_secundaria,
"Korea, Rep.",KOR,2004,tasa_alfabetizacion_adultos,
Mexico,MEX,2004,gasto_educacion_pib,4.72671
Mexico,MEX,2004,tasa_finalizacion_primaria,92.51
Mexico,MEX,2004,tasa_finalizacion_secundaria,74.64
Mexico,MEX,2004,tasa_alfabetizacion_adultos,90.95374
Spain,ESP,2004,gasto_educacion_pib,4.15786
Spain,ESP,2004,tasa_finalizacion_primaria,
Spain,ESP,2004,tasa_finalizacion_secundaria,
Spain,ESP,2004,tasa_alfabetizacion_adultos,97.16512
Viet Nam,VNM,2004,gasto_educacion_pib,
Viet Nam,VNM,2004,tasa_finalizacion_primaria,
Viet Nam,VNM,2004,tasa_finalizacion_secundaria,
Viet Nam,VNM,2004,tasa_alfabetizacion_adultos,
United States,USA,2004,gasto_educacion_pib,
United States,USA,2004,tasa_finalizacion_primaria,
United States,USA,2004,tasa_finalizacion_secundaria,
United States,USA,2004,tasa_alfabetizacion_adultos,
Uruguay,URY,2004,gasto_educacion_pib,2.49954
Uruguay,URY,2004,tasa_finalizacion_primaria,
Uruguay,URY,2004,tasa_finalizacion_secundaria,
Uruguay,URY,2004,tasa_alfabetizacion_adultos,
Argentina,ARG,2005,gasto_educacion_pib,3.86001
Argentina,ARG,2005,tasa_finalizacion_primaria,
Argentina,ARG,2005,tasa_finalizacion_secundaria,
Argentina,ARG,2005,tasa_alfabetizacion_adultos,
Brazil,BRA,2005,gasto_educacion_pib,4.47908
Brazil,BRA,2005,tasa_finalizacion_primaria,93.44
Brazil,BRA,2005,tasa_finalizacion_secundaria,76.04
Brazil,BRA,2005,tasa_alfabetizacion_adultos,
Chile,CHL,2005,gasto_educacion_pib,3.26283
Chile,CHL,2005,tasa_finalizacion_primaria,
Chile,CHL,2005,tasa_finalizacion_secundaria,
Chile,CHL,2005,tasa_alfabetizacion_adultos,
Costa Rica,CRI,2005,gasto_educacion_pib,
Costa Rica,CRI,2005,tasa_finalizacion_primaria,90.63
Costa Rica,CRI,2005,tasa_finalizacion_secundaria,50.82
Costa Rica,CRI,2005,tasa_alfabetizacion_adultos,
"Korea, Rep.",KOR,2005,gasto_educacion_pib,
"Korea, Rep.",KOR,2005,tasa_finalizacion_primaria,
"Korea, Rep.",KOR,2005,tasa_finalizacion_secundaria,
"Korea, Rep.",KOR,2005,tasa_alfabetizacion_adultos,
Mexico,MEX,2005,gasto_educacion_pib,4.84569
Mexico,MEX,2005,tasa_finalizacion_primaria,
Mexico,MEX,2005,tasa_finalizacion_secundaria,
Mexico,MEX,2005,tasa_alfabetizacion_adultos,91.63027
Spain,ESP,2005,gasto_educacion_pib,4.14432
Spain,ESP,2005,tasa_finalizacion_primaria,
Spain,ESP,2005,tasa_finalizacion_secundaria,90.51
Spain,ESP,2005,tasa_alfabetizacion_adultos,97.75069
Viet Nam,VNM,2005,gasto_educacion_pib,
Viet Nam,VNM,2005,tasa_finalizacion_primaria,
Viet Nam,VNM,2005,tasa_finalizacion_secundaria,
Viet Nam,VNM,2005,tasa_alfabetizacion_adultos,
United States,USA,2005,gasto_educacion_pib,
United States,USA,2005,tasa_finalizacion_primaria,
United States,USA,2005,tasa_finalizacion_secundaria,
United States,USA,2005,tasa_alfabetizacion_adultos,
Uruguay,URY,2005,gasto_educacion_pib,2.71475
Uruguay,URY,2005,tasa_finalizacion_primaria,
Uruguay,URY,2005,tasa_finalizacion_secundaria,
Uruguay,URY,2005,tasa_alfabetizacion_adultos,
Argentina,ARG,2006,gasto_educacion_pib,4.12821
Argentina,ARG,2006,tasa_finalizacion_primaria,
Argentina,ARG,2006,tasa_finalizacion_secundaria,
Argentina,ARG,2006,tasa_alfabetizacion_adultos,98.6108
Brazil,BRA,2006,gasto_educacion_pib,4.8706
Brazil,BRA,2006,tasa_finalizacion_primaria,94.1
Brazil,BRA,2006,tasa_finalizacion_secundaria,78.12
Brazil,BRA,2006,tasa_alfabetizacion_adultos,89.61523
Chile,CHL,2006,gasto_educacion_pib,3.02153
Chile,CHL,2006,tasa_finalizacion_primaria,96.23
Chile,CHL,2006,tasa_finalizacion_secundaria,94.07
Chile,CHL,2006,tasa_alfabetizacion_adultos,
Costa Rica,CRI,2006,gasto_educacion_pib,4.63918
Costa Rica,CRI,2006,tasa_finalizacion_primaria,89.83
Costa Rica,CRI,2006,tasa_finalizacion_secundaria,52.93
Costa Rica,CRI,2006,tasa_alfabetizacion_adultos,
"Korea, Rep.",KOR,2006,gasto_educacion_pib,
"Korea, Rep.",KOR,2006,tasa_finalizacion_primaria,
"Korea, Rep.",KOR,2006,tasa_finalizacion_secundaria,
"Korea, Rep.",KOR,2006,tasa_alfabetizacion_adultos,
Mexico,MEX,2006,gasto_educacion_pib,4.69992
Mexico,MEX,2006,tasa_finalizacion_primaria,94.39
Mexico,MEX,2006,tasa_finalizacion_secundaria,77.71
Mexico,MEX,2006,tasa_alfabetizacion_adultos,91.73452
Spain,ESP,2006,gasto_educacion_pib,4.18482
Spain,ESP,2006,tasa_finalizacion_primaria,
Spain,ESP,2006,tasa_finalizacion_secundaria,
Spain,ESP,2006,tasa_alfabetizacion_adultos,97.75214
Viet Nam,VNM,2006,gasto_educacion_pib,
Viet Nam,VNM,2006,tasa_finalizacion_primaria,95.03
Viet Nam,VNM,2006,tasa_finalizacion_secundaria,79.28
Viet Nam,VNM,2006,tasa_alfabetizacion_adultos,
United States,USA,2006,gasto_educacion_pib,
United States,USA,2006,tasa_finalizacion_primaria,
United States,USA,2006,tasa_finalizacion_secundaria,
United States,USA,2006,tasa_alfabetizacion_adultos,
Uruguay,URY,2006,gasto_educacion_pib,2.88026
Uruguay,URY,2006,tasa_finalizacion_primaria,
Uruguay,URY,2006,tasa_finalizacion_secundaria,
Uruguay,URY,2006,tasa_alfabetizacion_adultos,97.78963
Argentina,ARG,2007,gasto_educacion_pib,4.4626
Argentina,ARG,2007,tasa_finalizacion_primaria,
Argentina,ARG,2007,tasa_finalizacion_secundaria,
Argentina,ARG,2007,tasa_alfabetizacion_adultos,
Brazil,BRA,2007,gasto_educacion_pib,4.97426
Brazil,BRA,2007,tasa_finalizacion_primaria,93.74
Brazil,BRA,2007,tasa_finalizacion_secundaria,78.64
Brazil,BRA,2007,tasa_alfabetizacion_adultos,90.00937
Chile,CHL,2007,gasto_educacion_pib,3.21379
Chile,CHL,2007,tasa_finalizacion_primaria,
Chile,CHL,2007,tasa_finalizacion_secundaria,
Chile,CHL,2007,tasa_alfabetizacion_adultos,
Costa Rica,CRI,2007,gasto_educacion_pib,4.6589
Costa Rica,CRI,2007,tasa_finalizacion_primaria,90.92
Costa Rica,CRI,2007,tasa_finalizacion_secundaria,53.35
Costa Rica,CRI,2007,tasa_alfabetizacion_adultos,
"Korea, Rep.",KOR,2007,gasto_educacion_pib,
"Korea, Rep.",KOR,2007,tasa_finalizacion_primaria,
"Korea, Rep.",KOR,2007,tasa_finalizacion_secundaria,
"Korea, Rep.",KOR,2007,tasa_alfabetizacion_adultos,
Mexico,MEX,2007,gasto_educacion_pib,4.69051
Mexico,MEX,2007,tasa_finalizacion_primaria,
Mexico,MEX,2007,tasa_finalizacion_secundaria,
Mexico,MEX,2007,tasa_alfabetizacion_adultos,92.79517
Spain,ESP,2007,gasto_educacion_pib,4.25405
Spain,ESP,2007,tasa_finalizacion_primaria,
Spain,ESP,2007,tasa_finalizacion_secundaria,
Spain,ESP,2007,tasa_alfabetizacion_adultos,97.93884
Viet Nam,VNM,2007,gasto_educacion_pib,
Viet Nam,VNM,2007,tasa_finalizacion_primaria,
Viet Nam,VNM,2007,tasa_finalizacion_secundaria,
Viet Nam,VNM,2007,tasa_alfabetizacion_adultos,
United States,USA,2007,gasto_educacion_pib,
United States,USA,2007,tasa_finalizacion_primaria,
United States,USA,2007,tasa_finalizacion_secundaria,
United States,USA,2007,tasa_alfabetizacion_adultos,
Uruguay,URY,2007,gasto_educacion_pib,
Uruguay,URY,2007,tasa_finalizacion_primaria,
Uruguay,URY,2007,tasa_finalizacion_secundaria,
Uruguay,URY,2007,tasa_alfabetizacion_adultos,97.86389
Argentina,ARG,2008,gasto_educacion_pib,4.84441
Argentina,ARG,2008,tasa_finalizacion_primaria,
Argentina,ARG,2008,tasa_finalizacion_secundaria,
Argentina,ARG,2008,tasa_alfabetizacion_adultos,
Brazil,BRA,2008,gasto_educacion_pib,5.26884
Brazil,BRA,2008,tasa_finalizacion_primaria,94.11
Brazil,BRA,2008,tasa_finalizacion_secundaria,80.92
Brazil,BRA,2008,tasa_alfabetizacion_adultos,90.03662
Chile,CHL,2008,gasto_educacion_pib,3.79243
Chile,CHL,2008,tasa_finalizacion_primaria,
Chile,CHL,2008,tasa_finalizacion_secundaria,
Chile,CHL,2008,tasa_alfabetizacion_adultos,97.72245
Costa Rica,CRI,2008,gasto_educacion_pib,4.91712
Costa Rica,CRI,2008,tasa_finalizacion_primaria,91.16
Costa Rica,CRI,2008,tasa_finalizacion_secundaria,58.66
Costa Rica,CRI,2008,tasa_alfabetizacion_adultos,
"Korea, Rep.",KOR,2008,gasto_educacion_pib,
"Korea, Rep.",KOR,2008,tasa_finalizacion_primaria,
"Korea, Rep.",KOR,2008,tasa_finalizacion_secundaria,
"Korea, Rep.",KOR,2008,tasa_alfabetizacion_adultos,97.96594
Mexico,MEX,2008,gasto_educacion_pib,4.82007
Mexico,MEX,2008,tasa_finalizacion_primaria,95.01
Mexico,MEX,2008,tasa_finalizacion_secundaria,79.86
Mexico,MEX,2008,tasa_alfabetizacion_adultos,92.9256
Spain,ESP,2008,gasto_educacion_pib,4.52806
Spain,ESP,2008,tasa_finalizacion_primaria,
Spain,ESP,2008,tasa_finalizacion_secundaria,
Spain,ESP,2008,tasa_alfabetizacion_adultos,97.63061
Viet Nam,VNM,2008,gasto_educacion_pib,4.88674
Viet Nam,VNM,2008,tasa_finalizacion_primaria,
Viet Nam,VNM,2008,tasa_finalizacion_secundaria,
Viet Nam,VNM,2008,tasa_alfabetizacion_adultos,
United States,USA,2008,gasto_educacion_pib,
United States,USA,2008,tasa_finalizacion_primaria,
United States,USA,2008,tasa_finalizacion_secundaria,
United States,USA,2008,tasa_alfabetizacion_adultos,
Uruguay,URY,2008,gasto_educacion_pib,
Uruguay,URY,2008,tasa_finalizacion_primaria,94.85
Uruguay,URY,2008,tasa_finalizacion_secundaria,65.9
Uruguay,URY,2008,tasa_alfabetizacion_adultos,98.16356
Argentina,ARG,2009,gasto_educacion_pib,5.53105
Argentina,ARG,2009,tasa_finalizacion_primaria,
Argentina,ARG,2009,tasa_finalizacion_secundaria,
Argentina,ARG,2009,tasa_alfabetizacion_adultos,98.98342
Brazil,BRA,2009,gasto_educacion_pib,5.46355
Brazil,BRA,2009,tasa_finalizacion_primaria,94.44
Brazil,BRA,2009,tasa_finalizacion_secundaria,81.12
Brazil,BRA,2009,tasa_alfabetizacion_adultos,90.29821
Chile,CHL,2009,gasto_educacion_pib,4.23065
Chile,CHL,2009,tasa_finalizacion_primaria,96.59
Chile,CHL,2009,tasa_finalizacion_secundaria,94.43
Chile,CHL,2009,tasa_alfabetizacion_adultos,97.66423
Costa Rica,CRI,2009,gasto_educacion_pib,6.04635
Costa Rica,CRI,2009,tasa_finalizacion_primaria,91.95
Costa Rica,CRI,2009,tasa_finalizacion_secundaria,59.78
Costa Rica,CRI,2009,tasa_alfabetizacion_adultos,
"Korea, Rep.",KOR,2009,gasto_educacion_pib,
"Korea, Rep.",KOR,2009,tasa_finalizacion_primaria,
"Korea, Rep.",KOR,2009,tasa_finalizacion_secundaria,
"Korea, Rep.",KOR,2009,tasa_alfabetizacion_adultos,
Mexico,MEX,2009,gasto_educacion_pib,5.18794
Mexico,MEX,2009,tasa_finalizacion_primaria,
Mexico,MEX,2009,tasa_finalizacion_secundaria,
Mexico,MEX,2009,tasa_alfabetizacion_adultos,93.44188
Spain,ESP,2009,gasto_educacion_pib,4.912
Spain,ESP,2009,tasa_finalizacion_primaria,
Spain,ESP,2009,tasa_finalizacion_secundaria,
Spain,ESP,2009,tasa_alfabetizacion_adultos,97.67927
Viet Nam,VNM,2009,gasto_educacion_pib,4.8165
Viet Nam,VNM,2009,tasa_finalizacion_primaria,95.59169
Viet Nam,VNM,2009,tasa_finalizacion_secundaria,77.66713
Viet Nam,VNM,2009,tasa_alfabetizacion_adultos,93.52045
United States,USA,2009,gasto_educacion_pib,
United States,USA,2009,tasa_finalizacion_primaria,
United States,USA,2009,tasa_finalizacion_secundaria,
United States,USA,2009,tasa_alfabetizacion_adultos,
Uruguay,URY,2009,gasto_educacion_pib,
Uruguay,URY,2009,tasa_finalizacion_primaria,96.34
Uruguay,URY,2009,tasa_finalizacion_secundaria,65.89
Uruguay,URY,2009,tasa_alfabetizacion_adultos,98.26723
Argentina,ARG,2010,gasto_educacion_pib,5.01971
Argentina,ARG,2010,tasa_finalizacion_primaria,92.26296
Argentina,ARG,2010,tasa_finalizacion_secundaria,74.09815
Argentina,ARG,2010,tasa_alfabetizacion_adultos,98.95497
Brazil,BRA,2010,gasto_educacion_pib,5.6488
Brazil,BRA,2010,tasa_finalizacion_primaria,
Brazil,BRA,2010,tasa_finalizacion_secundaria,
Brazil,BRA,2010,tasa_alfabetizacion_adultos,90.37918
Chile,CHL,2010,gasto_educacion_pib,4.16209
Chile,CHL,2010,tasa_finalizacion_primaria,
Chile,CHL,2010,tasa_finalizacion_secundaria,
Chile,CHL,2010,tasa_alfabetizacion_adultos,96.8186
Costa Rica,CRI,2010,gasto_educacion_pib,6.63445
Costa Rica,CRI,2010,tasa_finalizacion_primaria,91.22
Costa Rica,CRI,2010,tasa_finalizacion_secundaria,61.49
Costa Rica,CRI,2010,tasa_alfabetizacion_adultos,
"Korea, Rep.",KOR,2010,gasto_educacion_pib,
"Korea, Rep.",KOR,2010,tasa_finalizacion_primaria,
"Korea, Rep.",KOR,2010,tasa_finalizacion_secundaria,
"Korea, Rep.",KOR,2010,tasa_alfabetizacion_adultos,
Mexico,MEX,2010,gasto_educacion_pib,5.15922
Mexico,MEX,2010,tasa_finalizacion_primaria,95.8
Mexico,MEX,2010,tasa_finalizacion_secundaria,81.42
Mexico,MEX,2010,tasa_alfabetizacion_adultos,93.06894
Spain,ESP,2010,gasto_educacion_pib,4.85608
Spain,ESP,2010,tasa_finalizacion_primaria,
Spain,ESP,2010,tasa_finalizacion_secundaria,
Spain,ESP,2010,tasa_alfabetizacion_adultos,97.7489
Viet Nam,VNM,2010,gasto_educacion_pib,5.13722
Viet Nam,VNM,2010,tasa_finalizacion_primaria,
Viet Nam,VNM,2010,tasa_finalizacion_secundaria,
Viet Nam,VNM,2010,tasa_alfabetizacion_adultos,
United States,USA,2010,gasto_educacion_pib,
United States,USA,2010,tasa_finalizacion_primaria,99.67774
United States,USA,2010,tasa_finalizacion_secundaria,98.32961
United States,USA,2010,tasa_alfabetizacion_adultos,
Uruguay,URY,2010,gasto_educacion_pib,
Uruguay,URY,2010,tasa_finalizacion_primaria,96.17
Uruguay,URY,2010,tasa_finalizacion_secundaria,63.57
Uruguay,URY,2010,tasa_alfabetizacion_adultos,98.07271
Argentina,ARG,2011,gasto_educacion_pib,5.29063
Argentina,ARG,2011,tasa_finalizacion_primaria,
Argentina,ARG,2011,tasa_finalizacion_secundaria,
Argentina,ARG,2011,tasa_alfabetizacion_adultos,99.10833
Brazil,BRA,2011,gasto_educacion_pib,5.73741
Brazil,BRA,2011,tasa_finalizacion_primaria,94.9
Brazil,BRA,2011,tasa_finalizacion_secundaria,82.95
Brazil,BRA,2011,tasa_alfabetizacion_adultos,91.41124
Chile,CHL,2011,gasto_educacion_pib,4.04519
Chile,CHL,2011,tasa_finalizacion_primaria,96.34
Chile,CHL,2011,tasa_finalizacion_secundaria,94.24
Chile,CHL,2011,tasa_alfabetizacion_adultos,96.70301
Costa Rica,CRI,2011,gasto_educacion_pib,6.45535
Costa Rica,CRI,2011,tasa_finalizacion_primaria,93.54096
Costa Rica,CRI,2011,tasa_finalizacion_secundaria,64.28467
Costa Rica,CRI,2011,tasa_alfabetizacion_adultos,97.40658
"Korea, Rep.",KOR,2011,gasto_educacion_pib,
"Korea, Rep.",KOR,2011,tasa_finalizacion_primaria,
"Korea, Rep.",KOR,2011,tasa_finalizacion_secundaria,
"Korea, Rep.",KOR,2011,tasa_alfabetizacion_adultos,
Mexico,MEX,2011,gasto_educacion_pib,5.10565
